Project;Date;Source;Target
bootstrap;19.12.2014;Mark Otto;bootstrap/_config.yml
bootstrap;19.12.2014;Mark Otto;bootstrap/docs/_includes/footer.html
bootstrap;19.12.2014;Mark Otto;bootstrap/grunt/configBridge.json
bootstrap;19.12.2014;Mark Otto;bootstrap/_config.yml
bootstrap;19.12.2014;Mark Otto;bootstrap/docs/_includes/footer.html
bootstrap;19.12.2014;Mark Otto;bootstrap/docs/_includes/header.html
bootstrap;18.12.2014;Mark Otto;bootstrap/dist/css/bootstrap.css
bootstrap;18.12.2014;Mark Otto;bootstrap/dist/css/bootstrap.css.map
bootstrap;18.12.2014;Mark Otto;bootstrap/dist/css/bootstrap.min.css
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/components/tables.md
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/dist/css/bootstrap.css
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/dist/css/bootstrap.css.map
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/dist/css/bootstrap.min.css
bootstrap;18.12.2014;Mark Otto;bootstrap/scss/_tables.scss
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/_data/nav.yml
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/_layouts/default.html
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/migration.md
bootstrap;18.12.2014;Mark Otto;bootstrap/dist/css/bootstrap.css
bootstrap;18.12.2014;Mark Otto;bootstrap/dist/css/bootstrap.css.map
bootstrap;18.12.2014;Mark Otto;bootstrap/dist/css/bootstrap.min.css
bootstrap;18.12.2014;Mark Otto;bootstrap/dist/js/bootstrap.js
bootstrap;18.12.2014;Mark Otto;bootstrap/dist/js/bootstrap.min.js
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/dist/css/bootstrap.css
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/dist/css/bootstrap.css.map
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/dist/css/bootstrap.min.css
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/dist/js/bootstrap.js
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/dist/js/bootstrap.min.js
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/examples/signin/signin.css
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/assets/css/docs.min.css
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/assets/css/docs.min.css.map
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/assets/scss/docs.scss
bootstrap;18.12.2014;Mark Otto;bootstrap/docs/migration.md
bootstrap;18.12.2014;Chris Rebert;bootstrap/docs/components/helpers.md
bootstrap;18.12.2014;Chris Rebert;bootstrap/scss/_utilities.scss
bootstrap;18.12.2014;Chris Rebert;bootstrap/docs/_data/browser-bugs.yml
bootstrap;18.12.2014;Chris Rebert;bootstrap/docs/_data/browser-bugs.yml
bootstrap;18.12.2014;Chris Rebert;bootstrap/docs/javascript/carousel.md
bootstrap;16.12.2014;Heinrich Fenkart;bootstrap/js/modal.js
bootstrap;17.12.2014;Chris Rebert;bootstrap/docs/examples/carousel/carousel.css
bootstrap;17.12.2014;Chris Rebert;bootstrap/docs/examples/carousel/index.html
bootstrap;17.12.2014;Chris Rebert;bootstrap/docs/javascript/carousel.md
bootstrap;17.12.2014;Chris Rebert;bootstrap/js/carousel.js
bootstrap;17.12.2014;Chris Rebert;bootstrap/js/tests/unit/carousel.js
bootstrap;17.12.2014;Chris Rebert;bootstrap/js/tests/visual/carousel.html
bootstrap;17.12.2014;Chris Rebert;bootstrap/scss/_carousel.scss
bootstrap;17.12.2014;Chris Rebert;bootstrap/docs/components/pagination.md
bootstrap;17.12.2014;Chris Rebert;bootstrap/scss/_pager.scss
bootstrap;17.12.2014;Chris Rebert;bootstrap/dist/css/bootstrap.css
bootstrap;17.12.2014;Chris Rebert;bootstrap/dist/css/bootstrap.css.map
bootstrap;17.12.2014;Chris Rebert;bootstrap/dist/css/bootstrap.min.css
bootstrap;17.12.2014;Chris Rebert;bootstrap/dist/js/bootstrap.js
